2022-05-12 03:01:09.681125700 T> capture finish 9 ms
2022-05-12 03:01:09.688523300 T> capture finish 7 ms
2022-05-12 03:01:09.695844500 T> capture finish 6 ms
2022-05-12 03:01:09.703798700 T> capture finish 7 ms
2022-05-12 03:01:09.714482300 T> capture finish 10 ms
2022-05-12 03:01:09.727387000 T> capture finish 12 ms
2022-05-12 03:01:09.748792900 T> capture finish 9 ms
2022-05-12 03:01:09.774420900 T> capture finish 13 ms
2022-05-12 03:01:09.790187700 T> capture finish 12 ms
2022-05-12 03:01:09.801306100 T> capture finish 9 ms
2022-05-12 03:01:09.809154200 T> capture finish 7 ms
2022-05-12 03:01:09.817890300 T> capture finish 8 ms
2022-05-12 03:01:09.826594200 T> capture finish 8 ms
2022-05-12 03:01:09.838319000 T> capture finish 11 ms
2022-05-12 03:01:09.846684000 T> capture finish 8 ms
2022-05-12 03:01:09.855858100 T> capture finish 7 ms
2022-05-12 03:01:09.864118900 T> capture finish 7 ms
2022-05-12 03:01:09.873811500 T> capture finish 9 ms
2022-05-12 03:01:09.882526800 T> capture finish 7 ms
2022-05-12 03:01:09.889413600 T> capture finish 6 ms
2022-05-12 03:01:09.897212600 T> capture finish 7 ms
2022-05-12 03:01:09.904379800 T> capture finish 6 ms
2022-05-12 03:01:09.910961900 T> capture finish 6 ms
2022-05-12 03:01:09.917702600 T> capture finish 6 ms
2022-05-12 03:01:09.924710600 T> capture finish 6 ms
2022-05-12 03:01:09.932445800 T> capture finish 7 ms
2022-05-12 03:01:09.939340000 T> capture finish 6 ms
2022-05-12 03:01:09.945979700 T> capture finish 6 ms
2022-05-12 03:01:09.952764600 T> capture finish 6 ms
2022-05-12 03:01:09.959364700 T> capture finish 6 ms
2022-05-12 03:01:09.966819900 T> capture finish 7 ms
2022-05-12 03:01:09.973471900 T> capture finish 6 ms
2022-05-12 03:01:09.980776300 T> capture finish 7 ms
2022-05-12 03:01:09.988086900 T> capture finish 6 ms
2022-05-12 03:01:09.994852800 T> capture finish 6 ms
2022-05-12 03:01:10.002671600 T> capture finish 7 ms
2022-05-12 03:01:10.011227300 T> capture finish 8 ms
2022-05-12 03:01:10.018155000 T> capture finish 6 ms
2022-05-12 03:01:10.025009400 T> capture finish 6 ms
2022-05-12 03:01:10.032322600 T> capture finish 7 ms
2022-05-12 03:01:10.039655600 T> capture finish 7 ms
2022-05-12 03:01:10.047245200 T> capture finish 7 ms
2022-05-12 03:01:10.055049400 T> capture finish 7 ms
2022-05-12 03:01:10.063964400 T> capture finish 8 ms
2022-05-12 03:01:10.071149600 T> capture finish 6 ms
2022-05-12 03:01:10.079143800 T> capture finish 7 ms
2022-05-12 03:01:10.086768100 T> capture finish 7 ms
2022-05-12 03:01:10.093996100 T> capture finish 6 ms
2022-05-12 03:01:10.102320000 T> capture finish 7 ms
2022-05-12 03:01:10.109777200 T> capture finish 7 ms
2022-05-12 03:01:10.117504800 T> capture finish 7 ms
2022-05-12 03:01:10.125360600 T> capture finish 7 ms
2022-05-12 03:01:10.132750400 T> capture finish 7 ms
2022-05-12 03:01:10.140325100 T> capture finish 7 ms
2022-05-12 03:01:10.148214200 T> capture finish 7 ms
2022-05-12 03:01:10.155173300 T> capture finish 6 ms
2022-05-12 03:01:10.161973800 T> capture finish 6 ms
2022-05-12 03:01:10.168623400 T> capture finish 6 ms
2022-05-12 03:01:10.176485800 T> capture finish 7 ms
2022-05-12 03:01:10.183460000 T> capture finish 6 ms
2022-05-12 03:01:10.190345400 T> capture finish 6 ms
2022-05-12 03:01:10.196975600 T> capture finish 6 ms
